Brand;Year;Model;Car/Suv;Title;UsedOrNew;Transmission;Engine;DriveType;FuelType;FuelConsumption;Kilometres;ColourExtInt;Location;CylindersinEngine;BodyType;Doors;Seats;Price
Holden;2011;Commodore;Wagon;2011 Holden Commodore SV6;USED;Automatic;6 cyl, 3.6 L;Rear;Unleaded;9.8 L / 100 km;183580;Silver / -;Adamstown, NSW;6 cyl;Wagon; 4 Doors; 5 Seats;12990
Mercedes-Benz;2005;CLK-Class;Mr Car;2005 Mercedes-Benz CLK-Class C209 Elegance Coupe 2dr Spts Auto 7sp 3.5i Luxury;USED;Automatic;-;Other;Unleaded;-;180499;Black / -;Rouse Hill, NSW;-;Coupe;;;9999
Nissan;2015;X-Trail;SUV;2015 Nissan X-Trail TL (fwd);USED;Automatic;4 cyl, 1.6 L;Front;Diesel;5.3 L / 100 km;124882;Red / Black;Liverpool, NSW;4 cyl;SUV; 4 Doors; 5 Seats;19888
Mazda;2005;6;Sedan;2005 Mazda 6 Classic;USED;Automatic;4 cyl, 2.3 L;Front;Premium;8.9 L / 100 km;247519;Gold / -;Minto, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;5950
Audi;2021;Q3;SUV;2021 Audi Q3 35 Tfsi;USED;Automatic;4 cyl, 1.4 L;Front;Premium;7.2 L / 100 km;9819;Blue / Black;Jamisontown, NSW;4 cyl;SUV; 4 Doors; 5 Seats;51990
Lexus;2004;IS300;Sedan;2004 Lexus IS300 Sports Luxury;USED;Automatic;6 cyl, 3 L;Rear;Unleaded;10.5 L / 100 km;124230;Black / -;Minto, NSW;6 cyl;Sedan; 4 Doors; 5 Seats;16000
Mitsubishi;2020;Triton;Ute / Tray;2020 Mitsubishi Triton GLX;USED;Automatic;4 cyl, 2.4 L;Rear;Diesel;8.3 L / 100 km;43839;White / Grey;Gateshead, NSW;4 cyl;Ute / Tray; 2 Doors; 2 Seats;33990
Hyundai;2012;I30;Hatchback;2012 Hyundai I30 Active;USED;Automatic;4 cyl, 1.8 L;Front;Unleaded;6.9 L / 100 km;106286;Silver / -;Minchinbury, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;16990
Mercedes-Benz;2011;C-CLASS;USED Dealer ad;2011 Mercedes-Benz C-CLASS W204 Elegance Sedan 4dr Spts Auto 5sp 1.8T Luxury;USED;Automatic;-;Other;Unleaded;-;167420;Black / -;Rouse Hill, NSW;-;;;;15999
Toyota;2018;Kluger;SUV;2018 Toyota Kluger GX (4X2);USED;Automatic;6 cyl, 3.5 L;Front;Unleaded;9.1 L / 100 km;128601;White / -;Blacktown, NSW;6 cyl;SUV; 4 Doors; 7 Seats;36888
Subaru;2011;Outback;SUV;2011 Subaru Outback 3.6R Premium;USED;Automatic;6 cyl, 3.6 L;AWD;Premium;10.3 L / 100 km;91016;Black / Black;Brookvale, NSW;6 cyl;SUV; 4 Doors; 5 Seats;16999
Jaguar;2014;XF;Sedan;2014 Jaguar XF 2.2D Premium Luxury;USED;Automatic;4 cyl, 2.2 L;Rear;Diesel;5.2 L / 100 km;38821;Grey / -;Rozelle, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;29800
Nissan;2015;X-Trail;SUV;2015 Nissan X-Trail ST-L 7 Seat (fwd);USED;Automatic;4 cyl, 2.5 L;Front;Unleaded;7.9 L / 100 km;94239;White / -;Minchinbury, NSW;4 cyl;SUV; 4 Doors; 7 Seats;22990
Ford;2013;Ranger;Ute / Tray;2013 Ford Ranger XLT 3.2 (4X4);USED;Manual;5 cyl, 3.2 L;4WD;Diesel;9.4 L / 100 km;167122;White / -;Cardiff, NSW;5 cyl;Ute / Tray; 4 Doors; 5 Seats;23913
Honda;2004;Accord;Sedan;2004 Honda Accord Euro Luxury;USED;Automatic;4 cyl, 2.4 L;Front;Premium;9.4 L / 100 km;207966;Silver / Black;Cabramatta, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;8990
Ford;2017;Ranger;Ute / Tray;2017 Ford Ranger XL 3.2 (4X4);USED;Manual;5 cyl, 3.2 L;4WD;Diesel;8.3 L / 100 km;108767;- / -;Mcgraths Hill, NSW;5 cyl;Ute / Tray; 2 Doors; 2 Seats;29999
Volkswagen;2015;Polo;Hatchback;2015 Volkswagen Polo 81 TSI Comfortline;USED;Automatic;4 cyl, 1.2 L;Front;Premium;4.8 L / 100 km;39578;White / Grey;Leichhardt, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;16420
Mazda;2015;2;Hatchback;2015 Mazda 2 Genki;USED;Automatic;4 cyl, 1.5 L;Front;Unleaded;4.9 L / 100 km;105633;Red / Grey;Brookvale, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;16990
Nissan;2002;Pulsar;Sedan;2002 Nissan Pulsar ST;USED;Automatic;4 cyl, 1.8 L;Front;Unleaded;8 L / 100 km;169981;Blue / Black;Minchinbury, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;7880
Toyota;2017;HiAce;USED Dealer ad;2017 Toyota HiAce;USED;Automatic;-;Other;-;-;91702;Black / Grey;Lidcombe, NSW;-;;;;38999
Hyundai;2015;Veloster;Hatchback;2015 Hyundai Veloster;USED;Automatic;4 cyl, 1.6 L;Front;Unleaded;6.4 L / 100 km;138263;White / Black;Minchinbury, NSW;4 cyl;Hatchback; 3 Doors; 4 Seats;21995
Toyota;2006;Corolla;Hatchback;2006 Toyota Corolla Ascent Seca;USED;Automatic;4 cyl, 1.8 L;Front;Unleaded;7.4 L / 100 km;238016;Silver / Black;Kurri Kurri, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;5999
Mercedes-Benz;2013;B-Class;Automobile Gallery;2013 Mercedes-Benz B-Class W246 Hatchback 5dr DCT 7sp 1.6T;USED;Automatic;-;Rear;Unleaded;-;44441;White / -;Granville, NSW;-;Hatchback;;;18990
Audi;2014;Q3;SUV;2014 Audi Q3 2.0 TDI Quattro (130KW);USED;Automatic;4 cyl, 2 L;AWD;Diesel;5.9 L / 100 km;73021;White / Black Leather;Minchinbury, NSW;4 cyl;SUV; 4 Doors; 5 Seats;27995
Holden;2010;Cruze;Sedan;2010 Holden Cruze CDX;USED;Automatic;4 cyl, 2 L;Front;Diesel;6.9 L / 100 km;106831;Silver / Black Leather;Bankstown, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;8995
Hyundai;2012;I30;Hatchback;2012 Hyundai I30 Trophy;USED;Automatic;4 cyl, 2 L;Front;Unleaded;7.6 L / 100 km;209552;Red / -;Minchinbury, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;7995
Mitsubishi;2021;Outlander;SUV;2021 Mitsubishi Outlander ES 5 Seat (awd);USED;Automatic;4 cyl, 2.4 L;AWD;Unleaded;7.2 L / 100 km;51311;Red / -;Ryde, NSW;4 cyl;SUV; 4 Doors; 5 Seats;30888
Toyota;2022;Yaris;Hatchback;2022 Toyota Yaris ZR Hybrid;USED;Automatic;3 cyl, 1.5 L;Front;Hybrid;3.3 L / 100 km;17984;Brown / Black;East Maitland, NSW;3 cyl;Hatchback; 5 Doors; 5 Seats;39990
Jeep;2014;Grand;SUV;2014 Jeep Grand Cherokee Limited (4X4);USED;Automatic;6 cyl, 3 L;4WD;Diesel;7.5 L / 100 km;137763;Black / Black;Mount Druitt, NSW;6 cyl;SUV; 4 Doors; 5 Seats;24990
Honda;2022;CR-V;SUV;2022 Honda CR-V VTI X (2WD) 5 Seats;USED;Automatic;4 cyl, 1.5 L;Front;Unleaded;7.3 L / 100 km;21532;Grey / -;Banksia, NSW;4 cyl;SUV; 4 Doors; 5 Seats;39990
Land;2015;Rover;SUV;2015 Land Rover Discovery 4 3.0 SDV6 HSE;USED;Automatic;6 cyl, 3 L;4WD;Diesel;8.8 L / 100 km;139968;Black / Black;Castle Hill, NSW;6 cyl;SUV; 4 Doors; 7 Seats;54990
MG;2022;ZS;Alto Blacktown MG;2022 MG ZS Excite;DEMO;Automatic;4 cyl, 1.5 L;Front;Unleaded;7.1 L / 100 km;15;Blue / Knight Black Synthetic Leather;Blacktown, NSW;4 cyl;SUV; 4 Doors; 5 Seats;23690
Mitsubishi;2015;Triton;Ute / Tray;2015 Mitsubishi Triton GLX (4X4);USED;Manual;4 cyl, 2.4 L;4WD;Diesel;7.2 L / 100 km;154276;Silver / -;Adamstown, NSW;4 cyl;Ute / Tray; 4 Doors; 5 Seats;28990
Mercedes-Benz;2009;E500;Sedan;2009 Mercedes-Benz E500 Avantgarde;USED;Automatic;8 cyl, 5.5 L;Rear;Premium;11 L / 100 km;98170;Black / Beige;Rozelle, NSW;8 cyl;Sedan; 4 Doors; 5 Seats;34990
Toyota;2023;HiAce;Nippon Motors;2023 Toyota HiAce Commuter High Roof Super LWB GL;USED;Automatic;-;Rear;Diesel;-;90;White / Black;Ingleburn, NSW;-;Commercial;;;79800
Kia;2013;RIO;Hatchback;2013 Kia RIO S;USED;Manual;4 cyl, 1.4 L;Front;Unleaded;5.7 L / 100 km;131990;Silver / Grey;Smeaton Grange, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;11490
Toyota;2019;Corolla;Hatchback;2019 Toyota Corolla Ascent Sport;USED;Automatic;4 cyl, 2 L;Front;Unleaded;6 L / 100 km;173605;White / -;Sylvania, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;18995
Toyota;2017;HiAce;Commercial;2017 Toyota HiAce LWB;USED;Automatic;4 cyl, 3 L;Rear;Diesel;8.7 L / 100 km;160331;White / Grey;Lidcombe, NSW;4 cyl;Commercial; 4 Doors; 2 Seats;34995
Holden;2010;Commodore;Wagon;2010 Holden Commodore Omega;USED;Automatic;6 cyl, 3 L;Rear;Unleaded;9.3 L / 100 km;203500;White / -;Minchinbury, NSW;6 cyl;Wagon; 4 Doors; 5 Seats;7995
Toyota;2018;Hilux;Ute / Tray;2018 Toyota Hilux SR (4X4);USED;Automatic;4 cyl, 2.8 L;4WD;Diesel;8.5 L / 100 km;37726;White / -;Cardiff, NSW;4 cyl;Ute / Tray; 4 Doors; 5 Seats;49913
Mazda;2018;3;Hatchback;2018 Mazda 3 SP25;USED;Automatic;4 cyl, 2.5 L;Front;Unleaded;6.1 L / 100 km;50304;White / Black;Jamisontown, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;23400
BMW;2018;M140I;Hatchback;2018 BMW M140I;USED;Automatic;6 cyl, 3 L;Rear;Premium;7.1 L / 100 km;59223;White / Black;Castle Hill, NSW;6 cyl;Hatchback; 5 Doors; 5 Seats;44990
Hyundai;2013;Accent;Sedan;2013 Hyundai Accent Active;USED;Automatic;4 cyl, 1.6 L;Front;Unleaded;6.4 L / 100 km;103629;Silver / Black;Minchinbury, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;12995
Holden;2013;Calais;USED Dealer ad;2013 Holden Calais VF Sedan 4dr Spts Auto 6sp 3.6i;USED;Automatic;-;Rear;Unleaded;-;224899;Silver / -;Minchinbury, NSW;-;;;;15800
Jeep;2015;Grand;SUV;2015 Jeep Grand Cherokee Laredo (4X4);USED;Automatic;6 cyl, 3 L;4WD;Diesel;7.5 L / 100 km;92805;Red / -;Cardiff, NSW;6 cyl;SUV; 4 Doors; 5 Seats;23913
Mercedes-Benz;2005;C200;Sedan;2005 Mercedes-Benz C200 Kompressor Classic;USED;Automatic;4 cyl, 1.8 L;Rear;Unleaded;9.5 L / 100 km;98800;Black / Black Leather;Brookvale, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;9888
Holden;2009;Commodore;Wagon;2009 Holden Commodore SV6;USED;Automatic;6 cyl, 3.6 L;Rear;Unleaded;11 L / 100 km;127994;Silver / Black;Sylvania, NSW;6 cyl;Wagon; 4 Doors; 5 Seats;13990
Subaru;2015;Impreza;Hatchback;2015 Subaru Impreza 2.0I-S (awd);USED;Automatic;4 cyl, 2 L;AWD;Unleaded;6.8 L / 100 km;171352;Black / Black;Homebush, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;15999
Mazda;2015;BT-50;Ute / Tray;2015 Mazda BT-50 XT (4X4);USED;Automatic;5 cyl, 3.2 L;4WD;Diesel;9.2 L / 100 km;31931;White / -;Smithfield, NSW;5 cyl;Ute / Tray; 4 Doors; 5 Seats;38800
Suzuki;2011;Swift;Hatchback;2011 Suzuki Swift GL;USED;Automatic;4 cyl, 1.4 L;Front;Unleaded;6.2 L / 100 km;158817;Black / -;Minchinbury, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;11800
Volkswagen;2016;Golf;Hatchback;2016 Volkswagen Golf 92 TSI;USED;Manual;4 cyl, 1.4 L;Front;Premium;5.7 L / 100 km;89757;Grey / Grey;Croydon, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;16990
Mitsubishi;2017;Pajero;Exclusive Autohaus;2017 Mitsubishi Pajero GLX;USED;Automatic;-;Other;-;-;151105;Blue / Grey;Blacktown, NSW;-;Wagon;;;36999
Mercedes-Benz;2011;E250;Sedan;2011 Mercedes-Benz E250 CGI Avantgarde;USED;Automatic;4 cyl, 1.8 L;Rear;Premium;7.6 L / 100 km;120209;Silver / Black;Granville, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;18990
Holden;2011;Commodore;Wagon;2011 Holden Commodore Omega;USED;Automatic;6 cyl, 3 L;Rear;Unleaded;8.9 L / 100 km;174239;White / -;Kirrawee, NSW;6 cyl;Wagon; 4 Doors; 5 Seats;13800
Toyota;2004;Camry;Sedan;2004 Toyota Camry Sportivo;USED;Automatic;4 cyl, 2.4 L;Front;Unleaded;9.5 L / 100 km;95362;Gold / -;Minchinbury, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;12995
Toyota;2018;C-HR;SUV;2018 Toyota C-HR Koba (awd);USED;Automatic;4 cyl, 1.2 L;AWD;Premium;5.6 L / 100 km;67615;- / Black;Richmond, NSW;4 cyl;SUV; 4 Doors; 5 Seats;32980
Peugeot;2017;308;Hatchback;2017 Peugeot 308 Active;USED;Automatic;3 cyl, 1.2 L;Front;Premium;5.1 L / 100 km;41522;Red / Black;Cardiff, NSW;3 cyl;Hatchback; 5 Doors; 5 Seats;18777
Audi;2018;Q2;SUV;2018 Audi Q2 1.4 Tfsi Design;USED;Automatic;4 cyl, 1.4 L;Front;Premium;5.3 L / 100 km;38238;Yellow / -;Rozelle, NSW;4 cyl;SUV; 4 Doors; 5 Seats;35800
Kia;2018;Sorento;SUV;2018 Kia Sorento SLI (4X4);USED;Automatic;4 cyl, 2.2 L;AWD;Diesel;7.2 L / 100 km;157465;White / -;Granville, NSW;4 cyl;SUV; 4 Doors; 7 Seats;28950
BMW;2017;218I;Hatchback;2017 BMW 218I Active Tourer Sport Line;USED;Automatic;3 cyl, 1.5 L;Front;Premium;5.2 L / 100 km;44286;White / -;Rozelle, NSW;3 cyl;Hatchback; 4 Doors; 5 Seats;26800
Hyundai;2017;Tucson;SUV;2017 Hyundai Tucson Elite (awd);USED;Automatic;4 cyl, 2 L;AWD;Diesel;6.8 L / 100 km;116134;White / -;Milperra, NSW;4 cyl;SUV; 4 Doors; 5 Seats;28880
Nissan;2007;Patrol;SUV;2007 Nissan Patrol ST-S (4X4);USED;Manual;4 cyl, 3 L;4WD;Diesel;10.8 L / 100 km;165374;Blue / -;Penrith, NSW;4 cyl;SUV; 4 Doors; 7 Seats;32950
Hyundai;2020;I30;Hatchback;2020 Hyundai I30 GO;USED;Automatic;4 cyl, 2 L;Front;Unleaded;7.4 L / 100 km;40178;White / Grey;Castle Hill, NSW;4 cyl;Hatchback; 4 Doors; 5 Seats;26300
Honda;2010;Accord;Sedan;2010 Honda Accord Euro Euro;USED;Automatic;4 cyl, 2.4 L;Front;Premium;8.9 L / 100 km;191701;Red / Black  Cloth;Granville, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;10499
Mitsubishi;2019;ASX;SUV;2019 Mitsubishi ASX ES (2WD);USED;Automatic;4 cyl, 2 L;Front;Unleaded;7.6 L / 100 km;43534;White / -;Campbelltown, NSW;4 cyl;SUV; 4 Doors; 5 Seats;25990
Nissan;2015;Qashqai;SUV;2015 Nissan Qashqai TI (4X2);USED;Automatic;4 cyl, 2 L;Front;Unleaded;6.9 L / 100 km;77936;White / Black;Smeaton Grange, NSW;4 cyl;SUV; 4 Doors; 5 Seats;23990
Toyota;2015;Landcruiser;Ute / Tray;2015 Toyota Landcruiser Workmate (4X4);USED;Manual;8 cyl, 4.5 L;4WD;Diesel;11.5 L / 100 km;217658;White / -;Cardiff, NSW;8 cyl;Ute / Tray; 2 Doors; 3 Seats;56913
Volkswagen;2015;Passat;Wagon;2015 Volkswagen Passat 132 TSI Comfortline;USED;Automatic;4 cyl, 1.8 L;Front;Premium;6 L / 100 km;49801;White / Black;Smeaton Grange, NSW;4 cyl;Wagon; 4 Doors; 5 Seats;26990
Subaru;2013;Forester;SUV;2013 Subaru Forester 2.5I;USED;Automatic;4 cyl, 2.5 L;AWD;Unleaded;8.1 L / 100 km;121608;Black / -;Pendle Hill, NSW;4 cyl;SUV; 4 Doors; 5 Seats;16950
Renault;2014;Megane;Wagon;2014 Renault Megane GT-Line;USED;Automatic;4 cyl, 1.2 L;Front;Premium;5.6 L / 100 km;112133;Black / Grey;Croydon, NSW;4 cyl;Wagon; 4 Doors; 5 Seats;13999
Renault;2018;Trafic;Commercial;2018 Renault Trafic LWB;USED;Manual;4 cyl, 1.6 L;Front;Diesel;6.2 L / 100 km;153438;White / -;Liverpool, NSW;4 cyl;Commercial; 4 Doors; 3 Seats;31950
Toyota;2013;Hilux;Ute / Tray;2013 Toyota Hilux Workmate;USED;Manual;4 cyl, 2.7 L;Rear;Unleaded;11 L / 100 km;215189;White / -;Camden, NSW;4 cyl;Ute / Tray; 2 Doors; 3 Seats;13995
Holden;2016;Cruze;Sedan;2016 Holden Cruze SRI Z-Series;USED;Manual;4 cyl, 1.6 L;Front;Unleaded;7.4 L / 100 km;139558;Black / Black;Granville, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;12990
Rolls-Royce;2011;Ghost;Sedan;2011 Rolls-Royce Ghost;USED;Automatic;12 cyl, 6.6 L;Rear;Premium;13.6 L / 100 km;45385;Silver / -;Rushcutters Bay, NSW;12 cyl;Sedan; 4 Doors; 5 Seats;329990
Volkswagen;2016;Crafter;Commercial;2016 Volkswagen Crafter 35 TDI 340 MWB;USED;Manual;4 cyl, 2 L;Rear;Diesel;0 L / 100 km;265837;White / Grey;Lidcombe, NSW;4 cyl;Commercial; 3 Doors; 2 Seats;25995
Hyundai;2010;I30;Hatchback;2010 Hyundai I30 SX;USED;Automatic;4 cyl, 2 L;Front;Unleaded;7.6 L / 100 km;186939;White / Grey;Minchinbury, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;10995
BMW;2013;3;USED Dealer ad;2013 BMW 3 Series 28i;USED;Automatic;-;Rear;Unleaded;-;149501;White / -;Granville, NSW;-;;;;23990
Kia;2015;Cerato;Hatchback;2015 Kia Cerato S;USED;Automatic;4 cyl, 1.8 L;Front;Unleaded;7.1 L / 100 km;103354;White / Black;Cardiff, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;15888
Toyota;2012;Tarago;Wagon;2012 Toyota Tarago GLI;USED;Automatic;4 cyl, 2.4 L;Front;Unleaded;8.9 L / 100 km;115000;White / Grey;Brookvale, NSW;4 cyl;Wagon; 4 Doors; 8 Seats;22999
Toyota;2017;Camry;Sedan;2017 Toyota Camry Altise;USED;Automatic;4 cyl, 2.5 L;Front;Unleaded;7.9 L / 100 km;97480;- / Car;Kirrawee, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;23999
Toyota;2018;Corolla;Hatchback;2018 Toyota Corolla Ascent Sport;USED;Automatic;4 cyl, 2 L;Front;Unleaded;6 L / 100 km;82020;White / Grey;Waitara, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;29888
Honda;2020;HR-V;SUV;2020 Honda HR-V RS Crimson Interior;USED;Automatic;4 cyl, 1.8 L;Front;Unleaded;6.7 L / 100 km;29007;Grey / -;Banksia, NSW;4 cyl;SUV; 4 Doors; 5 Seats;34990
Kia;2017;Sportage;SUV;2017 Kia Sportage SI (fwd);USED;Automatic;4 cyl, 2 L;Front;Unleaded;7.9 L / 100 km;115759;White / Grey;Singleton, NSW;4 cyl;SUV; 4 Doors; 5 Seats;24990
Volkswagen;2015;Golf;Redline Motor Group PTY LTD;2015 Volkswagen Golf 7 110TDI Highline Hatchback 5dr DSG 6sp 2.0DT MY15;USED;Automatic;-;Front;Diesel;-;168624;Grey / -;Minchinbury, NSW;-;Hatchback;;;16800
Land;2004;Rover;Auto Outlet Direct;2004 Land Rover Range Rover HSE;USED;Automatic;-;Other;Diesel;-;236221;Gold / -;Five Dock, NSW;-;Wagon;;;9999
Toyota;2006;Camry;Sedan;2006 Toyota Camry Altise;USED;Automatic;4 cyl, 2.4 L;Front;Unleaded;9.9 L / 100 km;260901;Blue / -;Lansvale, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;6990
Hyundai;2018;Iload;Commercial;2018 Hyundai Iload 3S Twin Swing;USED;Automatic;4 cyl, 2.5 L;Rear;Diesel;8.8 L / 100 km;57505;Grey / -;Sylvania, NSW;4 cyl;Commercial; 4 Doors; 3 Seats;35995
Subaru;2009;Impreza;Sedan;2009 Subaru Impreza WRX (awd);USED;Manual;4 cyl, 2.5 L;AWD;Premium;10.7 L / 100 km;153891;Grey / Grey;Leichhardt, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;16420
Holden;2005;Rodeo;Ute / Tray;2005 Holden Rodeo LX;USED;Manual;6 cyl, 3.5 L;Rear;Unleaded;0 L / 100 km;169587;White / -;Cardiff, NSW;6 cyl;Ute / Tray; 4 Doors; 5 Seats;9913
BMW;2013;320D;Coupe;2013 BMW 320D;USED;Automatic;4 cyl, 2 L;Rear;Diesel;5.3 L / 100 km;170658;Black / -;Haberfield, NSW;4 cyl;Coupe; 2 Doors; 4 Seats;17890
Toyota;2015;RAV4;SUV;2015 Toyota RAV4 GX (2WD);USED;Automatic;4 cyl, 2 L;Front;Unleaded;7.4 L / 100 km;119342;White / Black;Liverpool, NSW;4 cyl;SUV; 4 Doors; 5 Seats;21888
Volkswagen;2016;Amarok;Ute / Tray;2016 Volkswagen Amarok V6 TDI 550 Ultimate;USED;Automatic;6 cyl, 3 L;4WD;Diesel;7.8 L / 100 km;132194;Blue / Black;Glebe, NSW;6 cyl;Ute / Tray; 4 Doors; 5 Seats;41950
Holden;2017;Astra;Hatchback;2017 Holden Astra RS;USED;Automatic;4 cyl, 1.6 L;Front;Premium;6.3 L / 100 km;128928;Red / Grey;Granville, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;15984
Toyota;2010;Kluger;SUV;2010 Toyota Kluger KX-R (4X4) 7 Seat;USED;Automatic;6 cyl, 3.5 L;4WD;Unleaded;11 L / 100 km;269287;White / -;Minchinbury, NSW;6 cyl;SUV; 4 Doors; 7 Seats;13995
Toyota;2019;Corolla;Hatchback;2019 Toyota Corolla ZR (hybrid);USED;Automatic;4 cyl, 1.8 L;Front;Hybrid;4.2 L / 100 km;60906;Silver / Black;East Maitland, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;35990
Nissan;2015;X-Trail;SUV;2015 Nissan X-Trail ST (fwd);USED;Automatic;4 cyl, 2.5 L;Front;Unleaded;7.9 L / 100 km;188702;Red / -;Kirrawee, NSW;4 cyl;SUV; 4 Doors; 5 Seats;14900
BMW;2017;X1;SUV;2017 BMW X1 Sdrive 18D;USED;Automatic;4 cyl, 2 L;Front;Diesel;4.7 L / 100 km;41275;Brown / Black Leather;Warwick Farm, NSW;4 cyl;SUV; 4 Doors; 5 Seats;34880
Mazda;2008;6;Wagon;2008 Mazda 6 Classic;USED;Automatic;4 cyl, 2.5 L;Front;Premium;8.9 L / 100 km;196135;Red / -;Minto, NSW;4 cyl;Wagon; 4 Doors; 5 Seats;8950
Ford;2017;Ranger;Ute / Tray;2017 Ford Ranger XL 3.2 (4X4);USED;Automatic;5 cyl, 3.2 L;4WD;Diesel;8.8 L / 100 km;196114;White / Black;Caringbah, NSW;5 cyl;Ute / Tray; 4 Doors; 5 Seats;36990
Hyundai;2009;Imax;Wagon;2009 Hyundai Imax;USED;Automatic;4 cyl, 2.4 L;Rear;Premium;10.6 L / 100 km;152352;Silver / -;Adamstown, NSW;4 cyl;Wagon; 4 Doors; 8 Seats;19990
Toyota;2013;RAV4;SUV;2013 Toyota RAV4 GX (4X4);USED;Automatic;4 cyl, 2.2 L;AWD;Diesel;6.5 L / 100 km;165245;Silver / -;Minchinbury, NSW;4 cyl;SUV; 4 Doors; 5 Seats;16995
Toyota;2012;Kluger;SUV;2012 Toyota Kluger KX-S (4X4);USED;Automatic;6 cyl, 3.5 L;4WD;Unleaded;11 L / 100 km;101222;White / Black;Brookvale, NSW;6 cyl;SUV; 4 Doors; 7 Seats;23990
Holden;2018;Colorado;Ute / Tray;2018 Holden Colorado LS (4X2);USED;Automatic;4 cyl, 2.8 L;Rear;Diesel;8.8 L / 100 km;164863;White / Grey  Cloth;Bankstown, NSW;4 cyl;Ute / Tray; 4 Doors; 5 Seats;23888
Toyota;2016;Corolla;Hatchback;2016 Toyota Corolla Ascent;USED;Automatic;4 cyl, 1.8 L;Front;Unleaded;6.1 L / 100 km;74113;Silver / -;Liverpool, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;24950
Holden;2012;Captiva;SUV;2012 Holden Captiva 7 LX (4X4);USED;Automatic;6 cyl, 3 L;AWD;Unleaded;11.3 L / 100 km;121948;Gold / Black Leather;Elderslie, NSW;6 cyl;SUV; 4 Doors; 7 Seats;8999
Mercedes-Benz;2009;C200;Sedan;2009 Mercedes-Benz C200 Kompressor Classic;USED;Automatic;4 cyl, 1.8 L;Rear;Premium;8.2 L / 100 km;73989;Silver / -;Cardiff, NSW;4 cyl;Sedan; 4 Doors; 5 Seats;13913
Skoda;2010;Octavia;Wagon;2010 Skoda Octavia 103 TDI;USED;Automatic;4 cyl, 2 L;Front;Diesel;5.5 L / 100 km;81608;Grey / -;Arncliffe, NSW;4 cyl;Wagon; 4 Doors; 5 Seats;11880
Holden;2014;Colorado;Global car connect;2014 Holden Colorado 7;USED;Automatic;-;Other;Unleaded;-;166136;White / -;Seven Hills, NSW;-;Wagon;;;23995
Lexus;2019;UX200;SUV;2019 Lexus UX200 Luxury +EP1;USED;Automatic;4 cyl, 2 L;Front;Unleaded;5.8 L / 100 km;5159;White / Black;Castle Hill, NSW;4 cyl;SUV; 4 Doors; 5 Seats;43990
Hyundai;2009;Imax;Wagon;2009 Hyundai Imax;USED;Automatic;4 cyl, 2.4 L;Rear;Premium;10.6 L / 100 km;240239;Grey / -;Minchinbury, NSW;4 cyl;Wagon; 4 Doors; 8 Seats;15990
Hyundai;2019;Tucson;SUV;2019 Hyundai Tucson Active (2WD);USED;Automatic;4 cyl, 2 L;Front;Unleaded;7.9 L / 100 km;104066;White / Grey;Singleton, NSW;4 cyl;SUV; 4 Doors; 5 Seats;26990
Toyota;2009;RAV4;Wagon;2009 Toyota RAV4 CV (4X4);USED;Automatic;4 cyl, 2.4 L;Other;-;-;179643;Gold / Grey;Leichhardt, NSW;4 cyl;Wagon; 4 Doors;;12990
Kia;2020;RIO;Hatchback;2020 Kia RIO Sport;USED;Automatic;4 cyl, 1.4 L;Front;Unleaded;6 L / 100 km;67712;Red / -;Rozelle, NSW;4 cyl;Hatchback; 5 Doors; 5 Seats;21800
Skoda;2019;Rapid;Wagon;2019 Skoda Rapid Spaceback 92 TSI;USED;Automatic;4 cyl, 1.4 L;Front;Premium;6 L / 100 km;19768;Blue / -;Arncliffe, NSW;4 cyl;Wagon; 4 Doors; 5 Seats;23990
